"","postcode_clean","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","X","Y","fid","postcode","positional","country_co","nhs_region","nhs_ha_cod","admin_coun","admin_dist","admin_ward"
"151","HU5","Respondent 71","I give consent to take part in this study",53,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Weekly","Monthly","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Pond dipping","We have a beautiful space but seriously needs help and support to keep it and manage it","Beautiful relaxing mindfullness","Birds , newts foxes deer , bats , butterflies dragon flies , regrets, woodpeckers","All wildlife","I already do","Manage the water course","2025-04-14 12:05:54 UTC","2025-04-14 12:11:43 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"152","HU5","Respondent 113","I give consent to take part in this study",55,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Every 6 months","Monthly","Weekly","Monthly","No","Strongly agree","Strongly agree","Partially agree","Strongly agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","The lido","River Hull","Birds, squirrels, fish, newts, frogs, seals","Otters","I would if I had the space","Investment in their upkeep","2025-04-16 10:41:03 UTC","2025-04-16 10:48:47 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"153","HU5","Respondent 250","I give consent to take part in this study",82,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Every 6 months","Weekly","Every 6 months","Monthly","Monthly","Yes","Agree","Agree","Partially agree","Agree","Agree","Nature watching,Photography,Pond dipping","Allotment","River bank","Fox , birds , rats,  insects,  frogspawn,  newts","Field mice","I already do","Wild areas in parks.","2025-05-23 12:08:24 UTC","2025-05-23 12:22:01 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"154","HU5","Respondent 33","I give consent to take part in this study",44,"Male","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","2","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Every 6 months","Monthly","Once a year","Yes","Strongly agree","Strongly agree","Agree","Agree","Partially agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Flooding wet pasture","Abandoned historic drainage","Voles, Otters, Egrets, Kestrels, Skylarks, Herons, Storks, moths, dragonflies, deer, badgers, wild flower colonies","More moths & deadwood beetles","I already do","Physically or digitally linking sites together into nature pathways/to communicate how the parts form a network.","2025-04-03 07:32:45 UTC","2025-04-03 07:44:27 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"155","HU5","Respondent 116","I give consent to take part in this study",34,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","3","2","3","1. completely Agree","3","2",NA,"Monthly","Monthly","Every 6 months","Every 6 months","Weekly","Yes","Agree","Agree","Neutral","Agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","Picturesq, calming, welcoming","Tranquil, engaging, inquisitive","Birds, fish, squirrels","All wildlife","I would if I had the space","Make them more accessible","2025-04-16 11:58:23 UTC","2025-04-16 12:04:02 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"156","HU5","Respondent 77","I give consent to take part in this study",58,"Male","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","3","1. completely Agree","1. completely Agree","1. completely Agree","2","3",NA,"Monthly","Every 6 months","Monthly","Every 6 months","Weekly","Yes","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","Nature watching,Fishing","Relaxing, active, dirty","Unmanaged, neglected, litter","Birds,frogs,fish,","Birds,fish,voles","I already do","Get people involved in making, creating and managing projects","2025-04-15 10:31:20 UTC","2025-04-15 10:50:15 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"157","HU5","Respondent 118","I give consent to take part in this study",58,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","1. completely Agree","2","3","2","3",NA,"Every 6 months","Every 6 months","Monthly","Every 6 months","Once a year","No","Agree","Agree","Strongly agree","Agree","Neutral","I don't carry out any of these activities","Overgrown relaxing urban","Not a clue","Birds squirels","Rare endangered indigenous speciespecies","I already do","Government funding","2025-04-16 12:03:39 UTC","2025-04-16 12:10:48 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"158","HU5","Respondent 242","I give consent to take part in this study",52,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","2","1. completely Agree","1. completely Agree","2","2",NA,"Monthly","Weekly","Every 6 months","Monthly","Monthly","Yes","Agree","Strongly agree","Partially agree","Agree","Agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Hub for nature","Brown not blue","Mostly birds but also seals and dolphins at the coast","More moths, butterflies, and dragonflies, as I feel like their numbers have really declined.","Maybe, I would consider providing a blue space with more information or assistance","I don't have an answer to this but I imagine funding would play a large part","2025-05-23 08:20:11 UTC","2025-05-23 08:48:08 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"159","HU5","Respondent 256","I give consent to take part in this study",61,"Male","Yes","hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","3","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Monthly","Monthly","Monthly","Yes","Agree","Strongly agree","Agree","Agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","green ducks fountain","open flowing song","it would be an extensive list of birds invertebrates mammals reptiles and amphibians","I want to see the water and habitat in the best possible condition - then whatever that would support","I already do","water quality, sumpathetic margin and bank management","2025-05-23 14:25:59 UTC","2025-05-23 14:43:41 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"160","HU5","Respondent 121","I give consent to take part in this study",74,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","2","2","1. completely Agree",NA,"Every 6 months","Monthly","Monthly","Once a year","Every 6 months","Yes","Strongly disagree","Strongly disagree","Partially agree","Agree","Agree","Dog walking,Exercise (e.g., walking, kayaking, swimming)","Pickering Park","Priory farm","Foxes. Deer . Birds","Birds plants and flowers","I would if I had the space","More accessible","2025-04-16 14:09:17 UTC","2025-04-16 14:15:11 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"161","HU5","Respondent 82","I give consent to take part in this study",49,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Monthly","Weekly","Never","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Dirty, sparse, inaccessible","Peaceful,  pretty, interesting","Dragonflies,  birds, fish, flowers, crabs","More variety of all species","Maybe, I would consider providing a blue space with more information or assistance","Make them more accessible for all, clean them and the area, provide attractive flowers for insects, food sources for fish. Make them safe from vandals and pollution.","2025-04-15 11:25:46 UTC","2025-04-15 11:37:23 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"162","HU5","Respondent 41","I give consent to take part in this study",40,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Monthly","Monthly","Monthly","Monthly","Yes","Agree","Agree","Agree","Agree","Strongly agree","Nature watching,Pond dipping,Rock pooling","Surprising Wildife-Corridor Fragmented","Landscape thriving peaceful","Water Vole, Kingfisher, Stickleback, Egret, frogs, toads, rats","Water Vole, Bittern, Great Crested Newts, Red Kite","I already do","More education in schools and connect our younger generations with wildspaces as much as possible. Create a blue space protected by the people, a peoples place","2025-04-06 07:54:10 UTC","2025-04-06 08:06:29 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"163","HU5","Respondent 287","I give consent to take part in this study",60,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Every 6 months","Every 6 months","Once a year","Yes","Strongly agree","Strongly agree","Partially agree","Agree","Partially agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Parkland, pond, managed","Cemetery, unused, woodland","Birds, mammals, insects, plants","All","I already do","More areas managed for wildlife with access and information for public","2025-05-27 14:29:22 UTC","2025-05-27 14:43:43 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"164","HU5","Respondent 192","I give consent to take part in this study",32,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Weekly","Weekly","Monthly","Monthly","Weekly","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Organised, established, polluted","Polluted,","Birds, fish","Otters, beavers","I would if I had the space","Litter clean up, make them more accessible for activities","2025-05-20 21:40:40 UTC","2025-05-20 21:43:55 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"165","HU5","Respondent 90","I give consent to take part in this study",64,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Every 6 months","Every 6 months","Every 6 months","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping","Natural beautiful calm","Peaceful beautiful serene","Ducks, frogs, geese, swans, small egret, birds, newts, insects, dragonflies, deer","Newts, otters, watervoles","I already do","Clear away rubbish, look at water cleanliness, encourage wildlife, encourage community projects, make them safer spaces, raise awareness about of environmental issues and the impact on wildlife and nature","2025-04-15 16:23:52 UTC","2025-04-15 16:35:53 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"166","HU5","Respondent 294","I give consent to take part in this study",64,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Weekly","Every 6 months","Every 6 months","Monthly","Yes","Strongly agree","Strongly agree","Partially agree","Agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Pearson Park pond","River Hull bank","Waterfowl, songbirds, dragonflies, damselflies, butterflies, small insects, squirrels, many species of plants","Butterflies, songbirds, foxes","I already do","Allow more secluded places to develop to protect wildlife; for humans keep footpaths near the blue spaces accessible at all times, i.e. don't allow areas to become waterlogged (eg East Park) thus forcing people to walk into areas that might disturb wildlife.","2025-05-29 12:11:17 UTC","2025-05-29 12:22:42 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"167","HU5","Respondent 170","I give consent to take part in this study",58,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2","2",NA,"Every 6 months","Monthly","Every 6 months","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","calming, wildlife, accessible","envigorating, expansive, wild","variety of birds, wildflowers, fish","butterflies, bees","Maybe, I would consider providing a blue space with more information or assistance","Reduce the amount of litter and rubbish to protect wildlife and make them more attractive to people.","2025-05-07 15:23:56 UTC","2025-05-07 15:33:59 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"168","HU5","Respondent 252","I give consent to take part in this study",30,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Every 6 months","Weekly","Weekly","Yes","Partially agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping","Pretty but not diverse","Pretty but not diverse","River fishes, aquatic inverts, amphibians, signs of water voles, signs of otters, rats, swallows and other bird species associated and not associated with aquatics.","I would like to see more inverts because this would cause increase in areas being used by native protected species.","I would if I had the space","Unsure","2025-05-23 12:44:12 UTC","2025-05-23 12:49:53 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"169","HU5","Respondent 269","I give consent to take part in this study",65,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Weekly","Every 6 months","Every 6 months","Every 6 months","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","essential under-resourced ignored","essential over-looked beautiful","insects, amphibians, birds, small mammals, deer, otter","otters, kingsfishers, freshwater plants","I would if I had the space","stop building around blue spaces and provide more information on why they are important to humans","2025-05-25 16:48:05 UTC","2025-05-25 16:55:03 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"170","HU5","Respondent 67","I give consent to take part in this study",66,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Weekly","Monthly","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Garrowby Orchard Derringham","Far Ings Barton","Deer, birds, rabbits, squirrels, bees, insects","Deer, foxes, more birds e.g. Red Kites","Maybe, I would consider providing a blue space with more information or assistance","Limit development, more organic farming, no intensive animal farms","2025-04-13 15:05:20 UTC","2025-04-13 15:15:17 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"171","HU5","Respondent 255","I give consent to take part in this study",52,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Monthly","Every 6 months","Every 6 months","Yes","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Often polluted","Not sure","Puffin very recently at Bempton","Kingfisher","I already do","Avoid rubbish build-up","2025-05-23 12:50:52 UTC","2025-05-23 12:56:36 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"172","HU5","Respondent 148","I give consent to take part in this study",28,"Male","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","2","1. completely Agree","2",NA,"Monthly","Monthly","Monthly","Weekly","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Nature watching","The river humber","The river humber","Wading birds, lapwings, fish, gulls, ducks","Larger variety of birds, sea mammals, more fish","I would if I had the space","Clean them on a regular basis of litter and fly tipping, test the water to make sure it's healthy enough for animals to live in, encourage the local communities to get involved in maintaining it, try to stop people dumping stuff in and around it.","2025-04-18 19:28:40 UTC","2025-04-18 19:36:33 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"173","HU5","Respondent 115","I give consent to take part in this study",60,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Weekly","Every 6 months","Never","Weekly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","snuff mill lane","nutwood","Deer, squirrels, birds","deer","I would if I had the space","make them more accessible","2025-04-16 11:52:37 UTC","2025-04-16 11:56:22 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"174","HU5","Respondent 238","I give consent to take part in this study",69,"Male","Yes","hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","2","3","1. completely Agree","1. completely Agree","2",NA,"Every 6 months","Weekly","Every 6 months","Monthly","Every 6 months","Yes","Neutral","Neutral","Neutral","Disagree","Disagree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","local wet relaxed","local wild blue","ducks dragonfly weeds","broomrape","I would if I had the space","don't interfere","2025-05-22 21:38:18 UTC","2025-05-22 21:47:30 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"175","HU5","Respondent 122","I give consent to take part in this study",45,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Monthly","Monthly","Once a year","Every 6 months","Yes","Strongly disagree","Strongly disagree","Partially agree","Strongly disagree","Neutral","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Relaxing, beautiful and enjoyable","Relaxing, peaceful, enjoyable","Relaxing Peaceful Enjoyable","Swans, ducks and birds","No","Have a swimming area and a separate nature area","2025-04-16 16:01:37 UTC","2025-04-16 16:12:21 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"176","HU5","Respondent 260","I give consent to take part in this study",58,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Monthly","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Rock pooling","Important Beautiful Inspiring","Serene Diverse Essential","Barnacles Seaweed Limpets","Blue carbon habitats; Cetaceans; fish","I would if I had the space","Protection and expansion of existing designated areas; rewilding","2025-05-23 15:32:56 UTC","2025-05-23 16:54:57 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"177","HU5","Respondent 110","I give consent to take part in this study",44,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Every 6 months","Once a year","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Dog walking,Exercise (e.g., walking, kayaking, swimming)","Abandoned, neglected, littered","Littered, neglected, abandoned","Insects, ducks, fish, plants","Insects, plants","Maybe, I would consider providing a blue space with more information or assistance","Taking care and nurturing the blue spaces we already have","2025-04-16 10:25:17 UTC","2025-04-16 10:29:51 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"178","HU5","Respondent 251","I give consent to take part in this study",28,"Other","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","2","3","1. completely Agree","1. completely Agree","3",NA,"Monthly","Every 6 months","Every 6 months","Monthly","Weekly","Yes","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Nature watching,Photography","Lacking in biodiversity","Calming, lively, peaceful","Watervoles,kingfisher, seals, dolphins, gannets, puffins, razorbills, guillemots, peregrines, harriers-marsh, hen and once a Montagues. Dragonflies, damselflies, butterflies, waterfowl,","Otters, more invertebrates,","I already do","Remove invasive species such a Himalayan balsam, litter removal, get the government/water companies to stop dumping sewage. Better farmland runoff removal. Or less animal agriculture","2025-05-23 12:37:24 UTC","2025-05-23 12:46:53 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"179","HU5","Respondent 253","I give consent to take part in this study",49,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Once a year","Monthly","Once a year","Once a year","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Photography","National Avenue drain","National Avenue drain","Little Egret, mallards, there's a water vole conservation area on the drain near us. Loads of stuff.","Wading birds","I already do","Awareness, accessibility, safety","2025-05-23 12:45:10 UTC","2025-05-23 12:49:57 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"180","HU5","Respondent 290","I give consent to take part in this study",55,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Weekly","Every 6 months","Once a year","Every 6 months","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Dirty, barren, smelly","amazing, fulfilling, interesting","All sorts, in last week Brown trout, crayfish, minnows, heron, goosander, mallard, gulls, geese(greylag, one of the canada sp) mayfly, skaters, kingfisher, sand martin, lots of plants and flowers etc)","evrything","I already do","more investment is needed. Reducing pollution is a start.","2025-05-28 11:38:02 UTC","2025-05-28 11:46:22 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"181","HU5","Respondent 271","I give consent to take part in this study",31,"Other","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","2","2","3","4","3","5",NA,"Every 6 months","Every 6 months","Every 6 months","Every 6 months","Every 6 months","Yes","Agree","Strongly agree","Agree","Neutral","Partially agree","Nature watching,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Litter, wildlife, unkempt","Litter wildlife drugs","Heron, frogs, ducks, swans, fish, turtles","Ducks","I already do","More accessible, less litter","2025-05-26 16:18:27 UTC","2025-05-26 16:21:51 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"182","HU5","Respondent 187","I give consent to take part in this study",41,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Weekly","Monthly","Weekly","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Brown estuarine expanse","North sea coast","Kingfishers, seals, sharks, fish, puffins, gannets, ducks, jellyfish","Birds","I already do","No sewerage in the sea or lakes","2025-05-20 11:25:23 UTC","2025-05-20 11:29:41 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
"183","HU5","Respondent 150","I give consent to take part in this study",33,"Male","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","2","3","4","3","2",NA,"Never","Once a year","Once a year","Never","Once a year","No","Strongly agree","Strongly agree","Neutral","Partially agree","Agree","Dog walking,Exercise (e.g., walking, kayaking, swimming)","A health benefit","A Natural biome","Frogs","Fish","Maybe, I would consider providing a blue space with more information or assistance","More of them","2025-04-19 11:14:29 UTC","2025-04-19 11:24:06 UTC",508972,430257,680750,"HU5 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011529"
